ERCC_ID	Transcripts
ERCC-00002	301.107045
ERCC-00003	18.8191903125
ERCC-00004	150.5535225
ERCC-00009	18.8191903125
ERCC-00012	0.00229726448321876
ERCC-00013	0.018378115464274
ERCC-00014	0.0735124622585721
ERCC-00016	0.00459452896643752
ERCC-00017	0.00229726448321876
ERCC-00019	0.588099697265625
ERCC-00022	4.704797578125
ERCC-00024	0.00459452896643752
ERCC-00025	1.17619939453125
ERCC-00028	0.0735124622585721
ERCC-00031	0.0367562311292861
ERCC-00033	0.0367562311292861
ERCC-00034	0.147024924316406
ERCC-00035	2.3523987890625
ERCC-00039	0.0735124622585721
ERCC-00040	0.018378115464274
ERCC-00041	0.00459452896643752
ERCC-00042	9.40959515625
ERCC-00043	9.40959515625
ERCC-00044	2.3523987890625
ERCC-00046	75.27676125
ERCC-00048	0.00028715816077136
ERCC-00051	1.17619939453125
ERCC-00053	0.588099697265625
ERCC-00054	0.294049848632812
ERCC-00057	0.00028715816077136
ERCC-00058	0.0367562311292861
ERCC-00059	0.294049848632812
ERCC-00060	4.704797578125
ERCC-00061	0.00114863224160938
ERCC-00062	1.17619939453125
ERCC-00067	0.0735124622585721
ERCC-00069	0.0367562311292861
ERCC-00071	1.17619939453125
ERCC-00073	0.018378115464274
ERCC-00074	301.107045
ERCC-00075	0.00028715816077136
ERCC-00076	4.704797578125
ERCC-00077	0.0735124622585721
ERCC-00078	0.588099697265625
ERCC-00079	1.17619939453125
ERCC-00081	0.00459452896643752
ERCC-00083	0.00057431612080469
ERCC-00084	0.588099697265625
ERCC-00085	0.147024924316406
ERCC-00086	0.00229726448321876
ERCC-00092	4.704797578125
ERCC-00095	2.3523987890625
ERCC-00096	301.107045
ERCC-00097	0.00918905773213701
ERCC-00098	0.00114863224160938
ERCC-00099	0.294049848632812
ERCC-00104	0.00459452896643752
ERCC-00108	18.8191903125
ERCC-00109	0.018378115464274
ERCC-00111	9.40959515625
ERCC-00112	2.3523987890625
ERCC-00113	75.27676125
ERCC-00116	9.40959515625
ERCC-00117	0.00114863224160938
ERCC-00120	0.018378115464274
ERCC-00123	0.00459452896643752
ERCC-00126	0.294049848632812
ERCC-00130	602.21409
ERCC-00131	2.3523987890625
ERCC-00134	0.0367562311292861
ERCC-00136	37.638380625
ERCC-00137	0.018378115464274
ERCC-00138	0.00229726448321876
ERCC-00142	0.00459452896643752
ERCC-00143	0.0735124622585721
ERCC-00144	0.588099697265625
ERCC-00145	18.8191903125
ERCC-00147	0.018378115464274
ERCC-00148	0.294049848632812
ERCC-00150	0.0735124622585721
ERCC-00154	0.147024924316406
ERCC-00156	0.00918905773213701
ERCC-00157	0.147024924316406
ERCC-00158	0.00918905773213701
ERCC-00160	0.147024924316406
ERCC-00162	1.17619939453125
ERCC-00163	0.294049848632812
ERCC-00164	0.00918905773213701
ERCC-00165	1.17619939453125
ERCC-00168	0.00918905773213701
ERCC-00170	0.294049848632812
ERCC-00171	75.27676125
